Id,Category
1,Noun
2,Verb
3,Punc
4,Noun
5,Verb
6,Punc
7,Noun
8,Det
9,Adj
10,Noun
11,Pron
12,Conj
13,Verb
14,Punc
15,Det
16,Conj
17,Pron
18,Det
19,Noun
20,Noun
21,Verb
22,Punc
23,Noun
24,Pron
25,Adv
26,Punc
27,Noun
28,Conj
29,Noun
30,Det
31,Noun
32,Verb
33,Punc
34,Noun
35,Adj
36,Noun
37,Verb
38,Punc
39,Noun
40,Verb
41,Punc
42,Adj
43,Noun
44,Noun
45,Adj
46,Noun
47,Verb
48,Punc
49,Noun
50,Noun
51,Adv
52,Adj
53,Noun
54,Punc
55,Noun
56,Pron
57,Noun
58,Postp
59,Noun
60,Punc
61,Conj
62,Pron
63,Conj
64,Det
65,Noun
66,Noun
67,Noun
68,Adv
69,Noun
70,Verb
71,Punc
72,Pron
73,Noun
74,Verb
75,Punc
76,Adv
77,Noun
78,Verb
79,Punc
80,Pron
81,Noun
82,Noun
83,Adj
84,Verb
85,Punc
86,Noun
87,Adj
88,Det
89,Noun
90,Noun
91,Noun
92,Verb
93,Punc
94,Adj
95,Noun
96,Noun
97,Noun
98,Noun
99,Noun
100,Verb
101,Punc
102,Noun
103,Adj
104,Noun
105,Verb
106,Punc
107,Noun
108,Adj
109,Noun
110,Noun
111,Verb
112,Punc
113,Noun
114,Pron
115,Verb
116,Punc
117,Det
118,Noun
119,Adj
120,Det
121,Noun
122,Verb
123,Punc
124,Adv
125,Adj
126,Det
127,Noun
128,Noun
129,Verb
130,Punc
131,Noun
132,Noun
133,Noun
134,Verb
135,Punc
136,Det
137,Noun
138,Conj
139,Noun
140,Noun
141,Postp
142,Verb
143,Punc
144,Pron
145,Adv
146,Verb
147,Punc
148,Pron
149,Noun
150,Noun
151,Noun
152,Verb
153,Punc
154,Noun
155,Punc
156,Noun
157,Conj
158,Verb
159,Adj
160,Noun
161,Verb
162,Punc
163,Verb
164,Punc
165,Noun
166,Noun
167,Noun
168,Noun
169,Pron
170,Noun
171,Conj
172,Verb
173,Punc
174,Noun
175,Conj
176,Det
177,Noun
178,Adv
179,Noun
180,Adj
181,Punc
182,Det
183,Noun
184,Noun
185,Adv
186,Verb
187,Punc
188,Noun
189,Noun
190,Adj
191,Noun
192,Punc
193,Adj
194,Verb
195,Noun
196,Adv
197,Verb
198,Punc
199,Pron
200,Noun
201,Noun
202,Verb
203,Punc
204,Noun
205,Noun
206,Adv
207,Adj
208,Verb
209,Punc
210,Noun
211,Noun
212,Postp
213,Verb
214,Punc
215,Noun
216,Verb
217,Verb
218,Punc
219,Conj
220,Adj
221,Det
222,Noun
223,Verb
224,Punc
225,Det
226,Noun
227,Noun
228,Noun
229,Conj
230,Adj
231,Noun
232,Noun
233,Verb
234,Punc
235,Adj
236,Noun
237,Noun
238,Adv
239,Noun
240,Verb
241,Punc
242,Pron
243,Verb
244,Punc
245,Pron
246,Conj
247,Pron
248,Noun
249,Conj
250,Noun
251,Pron
252,Verb
253,Verb
254,Punc
255,Adv
256,Pron
257,Verb
258,Punc
259,Verb
260,Punc
261,Noun
262,Noun
263,Verb
264,Punc
265,Noun
266,Noun
267,Noun
268,Verb
269,Punc
270,Noun
271,Adv
272,Noun
273,Verb
274,Punc
275,Adv
276,Det
277,Noun
278,Noun
279,Verb
280,Punc
281,Adv
282,Pron
283,Conj
284,Pron
285,Verb
286,Ques
287,Punc
288,Noun
289,Pron
290,Noun
291,Verb
292,Punc
293,Noun
294,Noun
295,Adv
296,Noun
297,Verb
298,Punc
299,Conj
300,Pron
301,Noun
302,Pron
303,Verb
304,Punc
305,Det
306,Noun
307,Punc
308,Det
309,Noun
310,Verb
311,Punc
312,Noun
313,Noun
314,Postp
315,Verb
316,Punc
317,Pron
318,Noun
319,Verb
320,Punc
321,Noun
322,Noun
323,Noun
324,Noun
325,Adv
326,Verb
327,Punc
328,Adv
329,Conj
330,Adj
331,Det
332,Noun
333,Noun
334,Noun
335,Noun
336,Verb
337,Punc
338,Noun
339,Noun
340,Verb
341,Punc
342,Pron
343,Adj
344,Verb
